City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
296,namatanai,-3.6667,152.4333,80.4,81,100,5.95,PG,1675807596
297,sisimiut,66.9395,-53.6735,-13.04,98,90,2.62,GL,1675807596
298,maniitsoq,65.4167,-52.9,-1.68,90,98,9.51,GL,1675807597
299,folldal,62.1325,9.9968,21.61,98,100,4.74,NO,1675807598
300,egvekinot,66.3167,-179.1667,-22.49,87,98,9.35,RU,1675807598
301,bongandanga,1.5,21.05,79.59,30,74,0.47,CD,1675807599
302,wakkanai,45.4094,141.6739,24.57,68,100,13.38,JP,1675807599
303,huilong,31.8111,121.655,40.93,91,99,8.08,CN,1675807600
304,natal,-5.795,-35.2094,80.82,65,40,16.11,BR,1675807600
305,vysokogornyy,50.1167,139.15,-10.35,100,100,0.56,RU,1675807601
306,brokopondo,4.75,-55.1667,76.37,89,40,8.5,SR,1675807601
307,goderich,43.7501,-81.7165,37.72,87,100,10.36,CA,1675807491
308,roma,43.2128,-75.4557,42.82,60,100,9.22,US,1675807563
309,puerto baquerizo moreno,-0.9,-89.6,83.39,74,40,4.61,EC,1675807602
310,lufkin,31.3382,-94.7291,72.05,76,100,9.22,US,1675807602
311,wakefield,53.6809,-1.499,44.26,81,74,3.09,GB,1675807603
312,alta floresta,-9.8756,-56.0861,74.82,91,100,1.74,BR,1675807494
313,porto novo,6.4965,2.6036,80.15,80,89,7.76,BJ,1675807603
314,susanville,40.4163,-120.653,45.81,60,0,1.99,US,1675807604
315,ahipara,-35.1667,173.1667,69.58,61,97,7.27,NZ,1675807604
316,mizdah,31.4451,12.9801,47.79,66,100,19.95,LY,1675807604
317,ulaanbaatar,47.9077,106.8832,-20.07,69,5,2.24,MN,1675807397
318,tiksi,71.6872,128.8694,-25.82,99,100,3.96,RU,1675807605
319,san jeronimo,-11.9472,-75.2829,62.11,50,71,5.03,PE,1675807606
320,shaki,41.0833,47.1667,37.71,97,100,3.58,AZ,1675807606
321,kahului,20.8947,-156.47,80.96,76,40,25.32,US,1675807607
322,luganville,-15.5333,167.1667,80.76,74,100,2.26,VU,1675807607
323,arkhipo-osipovka,44.37,38.52,26.85,84,100,26.37,RU,1675807608
324,clyde river,70.4692,-68.5914,-27.24,96,98,3.2,CA,1675807601
325,voyvozh,62.892,54.9635,10.36,94,100,9.86,RU,1675807608
326,tukrah,32.5341,20.5791,52.79,69,100,13.09,LY,1675807609
327,ayame,5.6083,-3.1563,76.39,91,94,2.35,CI,1675807609
328,sambava,-14.2667,50.1667,75.31,89,81,7.56,MG,1675807609
329,dakar,14.6937,-17.4441,68.88,82,0,11.5,SN,1675807501
330,khandyga,62.6667,135.6,-51.61,100,100,2.42,RU,1675807610
331,marienburg,54.0359,19.0266,33.04,96,56,4.88,PL,1675807418
332,isangel,-19.55,169.2667,82.51,89,75,2.3,VU,1675807610
333,sola,-13.8833,167.55,82.11,77,100,15.01,VU,1675807611
334,ust-kachka,58.006,55.6725,-5.51,100,100,3.02,RU,1675807611
335,teluk nibung,3.001,99.8164,75.4,91,100,5.73,ID,1675807612
336,aguimes,27.9054,-15.4461,57.83,72,40,8.05,ES,1675807612
337,san antonio,29.4241,-98.4936,72.66,84,100,0.0,US,1675807376
338,tomatlan,19.9333,-105.25,83.8,48,57,9.75,MX,1675807612
339,svetlogorsk,52.6333,29.7333,11.89,97,39,2.93,BY,1675807613
340,pangnirtung,66.1451,-65.7125,-29.67,84,7,4.9,CA,1675807613
341,ocampo,21.65,-101.5,71.96,16,35,9.22,MX,1675807615
342,srednekolymsk,67.45,153.6833,-32.28,99,100,5.26,RU,1675807615
343,yura,-16.2522,-71.6797,57.94,84,79,9.17,PE,1675807615
344,mayor pablo lagerenza,-19.9309,-60.7718,83.61,60,77,5.19,PY,1675807616
345,mantua,45.1667,10.7833,33.04,80,4,1.99,IT,1675807431
346,singaparna,-7.3515,108.111,71.55,95,100,2.39,ID,1675807616
347,helena,46.5927,-112.0361,43.99,60,0,3.0,US,1675807617
348,prainha,-1.8,-53.48,76.1,93,83,2.82,BR,1675807617
349,husavik,66.0449,-17.3389,24.13,73,53,11.03,IS,1675807559
350,kodiak,57.79,-152.4072,29.71,55,0,17.27,US,1675807433
351,te anau,-45.4167,167.7167,49.75,80,69,7.38,NZ,1675807489
352,coquimbo,-29.9533,-71.3436,65.93,82,75,10.36,CL,1675807373
353,ust-ishim,57.6935,71.1665,-14.75,100,56,2.84,RU,1675807618
354,birr,53.0914,-7.9133,43.38,93,100,4.63,IE,1675807618
355,aquiraz,-3.9014,-38.3911,81.18,75,100,9.91,BR,1675807619
356,faanui,-16.4833,-151.75,80.35,75,29,11.1,PF,1675807619
357,yerofey pavlovich,53.9667,121.9667,-14.37,96,100,2.19,RU,1675807619
358,nikel,69.4128,30.222,32.18,84,31,19.77,RU,1675807620
359,kargasok,59.0556,80.8572,-1.25,98,93,6.06,RU,1675807487
360,hervey bay,-25.2986,152.8535,78.67,60,79,19.3,AU,1675807620
361,saint-joseph,-21.3667,55.6167,79.18,81,69,13.4,RE,1675807499
362,dudinka,69.4058,86.1778,-13.14,100,94,3.47,RU,1675807621
